id,name,type,focus,geo,website_or_profile,contact_hint,priority,notes,outreach_status
17,Digital Agency Panem,agency,Digital marketing,Ukraine,https://panem.agency/,Форма на сайте,B,Топ-17 Ringostat,todo
18,Udigital,agency,Digital marketing,Ukraine,https://udigital.ua/,Форма на сайте,B,Топ-18 Ringostat,todo
19,NCG DIEVO,agency,Media / performance,Ukraine,https://ncg.com.ua/,Форма / LinkedIn NCG DIEVO,B,Топ-19 Ringostat; IAB media,todo
20,ADWSERVICE,agency,PPC / performance,Ukraine,https://adwservice.com.ua/,Форма на сайте,B,Топ-20 Ringostat,todo
21,Dash Digital Agency,agency,Complex digital,Ukraine,https://dash.digital/,Форма на сайте,B,Топ-21 Ringostat,todo
22,Livepage,agency,Digital / web / marketing,Ukraine,https://livepage.ua/,Форма на сайте,B,Топ-22 Ringostat,todo
23,UAA,agency,Digital marketing,Ukraine,https://uaa.com.ua/,Форма на сайте,B,Топ-23 Ringostat,todo
24,Vdalo,agency,Digital marketing,Ukraine,https://vdalo.com/ (или LinkedIn Vdalo),Форма / LinkedIn,B,Топ-24 Ringostat,todo
25,seomarket,agency,SEO / PPC,Ukraine,https://seomarket.ua/,Форма на сайте,B,Топ-25 Ringostat,todo
26,TurboWeb,agency,Digital / SEO / ads,Ukraine,https://turboweb.com.ua/,Форма на сайте,B,Топ-26 Ringostat,todo
27,Ціль,agency,Performance marketing,Ukraine,Поиск: агенція Ціль Ringostat,Форма / LinkedIn,B,Топ-27 Ringostat,todo
28,ITForce,agency,Digital / IT marketing,Ukraine,https://itforce.ua/,Форма на сайте,B,Топ-28 Ringostat,todo
29,iplace,agency,Digital marketing,Ukraine,https://iplace.ua/,Форма на сайте,B,Топ-29 Ringostat,todo
30,Power-UP,agency,Performance marketing,Ukraine,https://power-up.ua/,Форма на сайте,B,Топ-30 Ringostat,todo
31,Tolk Telegram Agency,agency,Telegram Ads / channel buys,Ukraine,https://www.tolktelegram.agency/,Форма на сайте,A,Специализация Telegram Ads UA,todo
32,Spilno Agency,agency,Telegram Ads / Meta / Google / ROI,Ukraine,https://spilnoagency.com.ua/,Форма на сайте,A,Кейсы Telegram Ads; Киев,todo
33,Telegram Agency t:me,agency,Telegram channels / Ads / content,Ukraine,https://telegram.agency/,Форма на сайте,A,Первая TG-агенция UA; кейсы ALLO/Silpo/Uklon,todo
34,newage.,agency,Telegram Ads / digital advertising,Ukraine,https://newage.agency/,Форма на сайте,A,Экспертиза Telegram Ads + CRM attribution,todo
35,UPLIFY,agency,Telegram Ads / Meta / Google / TikTok,Ukraine,https://uplify.agency/,Форма на сайте,A,Performance для ecom; Telegram Ads UA+EU,todo
36,Vluchno,agency,Performance / B2B B2C ecom,Ukraine,https://vluchno.io/,Форма на сайте,A,ТОП-100 Ringostat 2025,todo
37,LuxSite,agency,Meta Ads / Google Ads / SEO / SMM,Ukraine,https://luxsite.agency/uk/,Форма / +380443039828,A,ТОП-100 Ringostat; GMB award,todo
38,Aweb,agency,SEO / PPC / Google Premier Partner,Ukraine,https://aweb.ua/,Форма на сайте,A,Сильный PPC/SEO Киев с 2006,todo
39,SEOquick,agency,SEO / Google / Meta Partner,Ukraine,https://seoquick.com.ua/,Форма на сайте,B,С 2008; paid+organic,todo
40,SEO-Studio,agency,SEO / PPC / analytics,Ukraine,https://seo-studio.agency/,Форма на сайте,B,UA agency for global projects,todo
41,Banda,agency,Creative / brand / communications,Ukraine,https://banda.agency/,Форма на сайте,B,Лидер VRK коммуникационных агентств 2025,todo
42,Aimbulance,agency,Creative / brand communications,Ukraine,https://aimbulance.com/,Форма на сайте,B,VRK AdChoice 2025,todo
43,OMG agency,agency,Creative / brand,Ukraine,https://omg.ua/ или LinkedIn OMG agency Ukraine,Форма / LinkedIn,C,VRK AdChoice 2025,todo
44,Adsapience,agency,Communications / creative,Ukraine,https://adsapience.com/,Форма на сайте,C,VRK AdChoice 2025,todo
45,AdShot Creative,agency,Creative / ads production,Ukraine,LinkedIn AdShot Creative Ukraine,LinkedIn / сайт,C,VRK AdChoice 2025,todo
46,Senate Agency,agency,Communications,Ukraine,LinkedIn Senate Agency Ukraine,LinkedIn / сайт,C,VRK AdChoice 2025,todo
47,MAINSTREAM,agency,PR / communications / influence,Ukraine,https://mainstream.com.ua/,Форма на сайте,B,PR + инфлюенс кейсы,todo
48,Admixer,agency,Programmatic / adtech / media,Ukraine,https://admixer.net/,Форма на сайте,B,Adtech UA; programmatic,todo
49,dentsu X Ukraine,agency,Media agency,Ukraine,https://www.dentsu.com/,Через сайт dentsu UA,B,VRK media 2025 #2,todo
50,Carat Ukraine,agency,Media agency,Ukraine,https://www.carat.com/,Через сайт / LinkedIn Carat Ukraine,B,VRK media 2025 #3,todo
51,OMD Optimum Media Ukraine,agency,Media agency,Ukraine,https://www.omd.com/,Через сайт / LinkedIn,B,IAB #1 media 2025,todo
52,Havas Media Ukraine,agency,Media / digital,Ukraine,https://www.havas.com/,Через сайт / LinkedIn Havas UA,B,IAB / VRK media,todo
53,HAVAS DGTL KYIV,agency,Digital media,Ukraine,LinkedIn HAVAS DGTL KYIV,LinkedIn,B,IAB media 2025,todo
54,Starcom Ukraine,agency,Media agency,Ukraine,https://www.starcomww.com/,LinkedIn Starcom Ukraine,B,VRK media 2025,todo
55,UM (Razom Group),agency,Media agency,Ukraine,LinkedIn UM Ukraine / Razom,LinkedIn,B,IAB media 2025,todo
56,INITIATIVE (Razom Group),agency,Media agency,Ukraine,LinkedIn Initiative Ukraine,LinkedIn,B,IAB media 2025,todo
57,AMS agency,agency,Media agency,Ukraine,LinkedIn AMS agency Ukraine,LinkedIn / сайт,B,IAB media 2025,todo
58,White Hawk Lab,agency,SMM / Meta / AI automation,Ukraine,LinkedIn White Hawk Lab / Daria M.,LinkedIn,B,AI-first marketing; SMM+paid,todo
59,Aleksandr Zhilyuk,freelancer,Meta & Telegram Ads / media buying,Ukraine,https://linkedin.com/in/aleksandr-zhilyuk,LinkedIn message,A,Head of Media Buying; TG+Meta,todo
60,Daria M.,freelancer,SMM / Meta / Google / Telegram,Ukraine,https://linkedin.com/in/daria-m-ua,LinkedIn message,A,6+ лет; White Hawk Lab,todo
61,Oleksii Liubchenko,freelancer,Google Ads / Meta Ads / CRM funnels,Ukraine,https://ua.linkedin.com/in/oleksii-liubchenko-869b20212,Telegram @alekssau2 / alexeylubchenko75@gmail.com,A,Head of PPC; CRM integrations,todo
62,Natella Ozova,freelancer,CMO / TikTok Meta Google Telegram Ads,Ukraine,https://ua.linkedin.com/in/natellaozova,LinkedIn message,B,CMO 13+ лет; SaaS/fintech/edtech,todo
63,Konstantin Slastin,freelancer,CRM + Meta Ads attribution / Zoho,Ukraine,https://linkedin.com/in/konstantin-slastin-723126281,LinkedIn message,B,CRM+ads attribution specialist,todo
64,Freelancehunt Targetologists,platform_pool,Telegram Ads / Meta targetologists,Ukraine,https://freelancehunt.com/ua/freelancers,Создать проект «тест рекламы CRM UA»,A,Биржа: разместить бриф на тест-бюджет,todo
65,Freelance.ua SMM/Ads,platform_pool,SMM / target / Telegram,Ukraine,https://freelance.ua/,Создать заказ с ТЗ теста,A,UA фриланс биржа,todo
66,Kabanchik маркетинг,platform_pool,Local UA freelancers SMM/ads,Ukraine,https://kabanchik.ua/,Заказ «таргетолог Instagram/Telegram»,B,Массовый пул исполнителей,todo
67,DOU.ua job/gig,platform_pool,UA digital specialists,Ukraine,https://dou.ua/,Пост/вакансия «performance для CRM»,A,Сильная UA tech/marketing аудитория,todo
68,Djinni marketing gigs,platform_pool,Performance / SMM specialists,Ukraine,https://djinni.co/,Вакансия/заказ performance marketer,B,IT+marketing talent UA,todo
69,Telegram Ads official,channel,Official Telegram Ads placements,Ukraine,https://ads.telegram.org/,Через реселлера (Netpeak/UAMASTER),A,Официальный кабинет; тест через партнера,todo
70,Telega.in catalog,channel_marketplace,Paid posts in TG channels,Ukraine/CIS,https://telega.in/,Подбор каналов бизнес/CRM/стартапы,A,Закупка посевов в каналах,todo
71,TGStat UA business channels,channel_research,UA business Telegram channels,Ukraine,https://tgstat.com/ua/ratings/channels?category=business,Админы каналов для посева,A,Рейтинг бизнес-каналов UA,todo
72,Instagram UA business influencers,influencer_pool,Instagram B2B / business niche,Ukraine,Instagram search + Bloggers.ua / Influence platforms,Direct / менеджер блогера,A,Блогеры бизнес/стартап/IT UA,todo
73,Bloggers.ua / influencer platforms,influencer_pool,UA influencer marketing,Ukraine,Поиск Bloggers.ua / similar UA platforms,Менеджеры блогеров,B,Подбор Instagram/TikTok инфлюенсеров,todo
74,LinkedIn UA SaaS marketers,freelancer_pool,B2B SaaS performance / LinkedIn Ads,Ukraine,LinkedIn search: performance marketer Ukraine SaaS,InMail,A,B2B CRM лидоген через LinkedIn,todo
75,Facebook group UA Job / digital,community,UA marketers community,Ukraine,Facebook groups: UA Job / digital marketing UA,Пост с оффером теста,B,Быстрый отклик таргетологов,todo
76,Ukrainian Digital Community,community,Agency owners / digital specialists,Ukraine,https://ukrainiandigital.com/,Комьюнити / партнеры,B,Верификатор Ringostat; нетворкинг,todo
77,Clutch UA digital agencies,directory,Vetted UA agencies,Ukraine,https://clutch.co/ua/agencies/digital-marketing,Заявки через Clutch,B,Доп. пул агентств с отзывами,todo
78,IT Rating UA marketing,directory,UA marketing agencies ranking,Ukraine,https://it-rating.ua/ (или аналоги),Карточки агентств,C,Доп. рейтинг для shortlist,todo
79,Serpstat / UBA SEO list extras,agency_pool,SEO+PPC agencies,Ukraine,https://uba.top/,Контакты агентств из research,C,Aweb/Webpromo/SEOquick уже в списке,todo
80,Meta Business Partners UA,partner_pool,Certified Meta Ads agencies/freelancers,Ukraine,https://www.facebook.com/business/partner-directory,Фильтр Ukraine,A,Официальные Meta партнеры,todo
81,Google Partners UA,partner_pool,Certified Google Ads agencies,Ukraine,https://www.google.com/partners,Фильтр Ukraine,A,Официальные Google партнеры,todo
82,TikTok Marketing Partners UA,partner_pool,TikTok Ads specialists,Ukraine,TikTok Partner directory / LinkedIn,Форма / LinkedIn,B,Если нужен TikTok тест,todo
83,Performance freelancers (Instagram target),freelancer_pool,Instagram/FB targetologists,Ukraine,Freelancehunt skill: targetolog / SMM,Отклики на проект,A,Массовый тест 10–20 человек на малом бюджете,todo
84,Performance freelancers (Telegram buys),freelancer_pool,Telegram channel seeding buyers,Ukraine,Freelancehunt / Telegram chats media buyers,Отклики на проект,A,Закупка посевов под CRM оффер,todo
85,SMM agencies Kyiv,agency_pool,Instagram/TikTok/Telegram SMM,Ukraine,Поиск SMM агенція Київ + Ringostat mid-tier,Формы на сайтах,B,Ведение + посевы,todo
86,SMM agencies Lviv,agency_pool,SMM / ads Western UA,Ukraine,Поиск SMM агенція Львів,Формы на сайтах,B,Гео-фокус Львів/Захід,todo
87,SMM agencies Odesa,agency_pool,SMM / SEO / ads,Ukraine,OdesSeo + local agencies,Формы на сайтах,B,Південь UA,todo
88,SMM agencies Dnipro,agency_pool,Performance / SMM,Ukraine,Поиск digital агенція Дніпро,Формы на сайтах,B,Региональный пул,todo
89,SMM agencies Kharkiv,agency_pool,Performance / SMM,Ukraine,Поиск digital агенція Харків,Формы на сайтах,B,Региональный пул,todo
90,B2B content + LinkedIn agencies UA,agency_pool,B2B demand gen for SaaS/CRM,Ukraine,LinkedIn / Clutch B2B marketing UA,Формы / InMail,A,CRM = B2B; нужны demand-gen,todo
91,Affiliate / CPA media buyers UA,freelancer_pool,CPA / leadgen media buying,Ukraine,LinkedIn: media buyer Ukraine CPA,Telegram/LinkedIn,B,Тест лидогена на CPL,todo
92,Influencer managers UA (micro),influencer_pool,Micro-influencers business/education,Ukraine,Instagram 5k–50k UA business niche,Direct менеджерам,A,Дешёвые тесты охватов,todo
93,YouTube UA business creators,influencer_pool,YouTube integrations business/IT,Ukraine,YouTube UA бізнес / стартапи,Email/Telegram менеджеров,B,Обзоры CRM / интеграции,todo
94,Podcast / Telegram talk hosts UA,influencer_pool,Business podcasts & TG talks,Ukraine,UA business podcasts / TG AMA,Direct hosts,C,Thought-leadership для CRM,todo
95,Email/newsletter UA business media,media,Sponsored newsletters / digests,Ukraine,AIN.ua / MC.today / Speka / Vector,Рекламные отделы медиа,A,B2B охват предпринимателей UA,todo
96,AIN.ua ads,media,Tech/startup media advertising,Ukraine,https://ain.ua/,Реклама / спецпроекты,A,Стартап/IT аудитория UA,todo
97,MC.today ads,media,Business media advertising,Ukraine,https://mc.today/,Реклама / спецпроекты,A,Бизнес-аудитория UA,todo
98,Speka.media ads,media,Tech media advertising,Ukraine,https://speka.ua/,Реклама / спецпроекты,A,Tech/digital аудитория,todo
99,Vector media / similar UA biz media,media,Business media & events,Ukraine,Поиск Vector Ukraine / biz media kits,Media kit / sales,B,Ивенты + спонсорство,todo
100,NetHunt / KeyCRM / SalesDrive partner marketers,ecosystem,CRM-ecosystem marketers & integrators,Ukraine,Партнёрские программы UA CRM / LinkedIn,Партнёры / referral,A,Уже понимают CRM-нишу UA; ко-маркетинг,todo
